52235-0750-082,0,0,9.38,13,56,18.4,2.2342,5.94,0,1.33,0,0
52143-0650-199,0,0,9.42,-10,27,51.9,1.8449,4.68,0,0.83,1,1
52203-0685-198,0,0,14.82,-1,10,30.7,1.8877,5.16,0,1.24,0,0
52203-0685-439,0,0,15.47,0,52,46.8,1.8516,8.64,0,2.16,0,0
54389-2822-315,0,0,24.83,24,57,3.3,3.2137,9.21,0,1.48,0,0
51791-0387-167,0,0,39,0,18,3.9,2.1249,6.61,0,1.75,0,0
52143-0650-178,0,0,50.6,-10,21,55.9,2.6404,8.68,0,1.56,4,2
52203-0685-154,0,0,53.17,0,17,32.9,2.7571,7.55,0,1.15,0,0
52902-1091-546,0,0,57.58,1,6,58.6,2.5551,11.83,0,1.78,3,2
51791-0387-093,0,0,58.22,0,46,46.5,1.8973,13.27,0,0.84,1,1
52203-0685-134,0,1,25.14,0,0,9.4,1.9739,5.32,0,1.52,0,0
52991-1489-104,0,1,35.51,0,42,6.7,3.5816,4.09,0,1.35,0,0
52235-0750-541,0,1,39.42,15,26,24.1,1.7892,4.39,0,1.2,0,0
52235-0750-550,0,1,43.41,15,20,21.4,2.6383,8.02,0,2.72,1,1
52143-0650-519,0,1,59.12,-9,47,12.5,2.3077,10.77,0,1.15,0,0
54327-2630-269,0,2,11.76,-5,29,8.4,2.8,9.22,0,1.69,0,0
52203-0685-105,0,2,12.07,0,53,9.1,2.2122,7.53,0,2.8,0,0
54327-2630-233,0,2,16.66,-5,30,7.6,3.1592,6.47,0,1.81,0,0
54389-2822-423,0,2,20.64,25,3,40,2.7668,16.83,0,1.47,1,1
51791-0387-556,0,2,21.11,0,21,49.3,3.0699,13.13,0,2.17,1,0
52235-0750-553,0,2,21.8,15,14,54.5,1.8249,11.52,0,1.42,0,0
54327-2630-237,0,2,27.68,-5,10,22.3,2.8034,12.38,0,1.72,1,0
52143-0650-111,0,2,38.41,-10,11,49.8,3.9383,8.73,0,1.52,0,0
54452-2824-187,0,2,49.78,27,9,40.1,2.2546,6.26,0,1.28,2,0
54327-2630-423,0,2,55.92,-4,24,2.1,2.7251,5.14,0,1.77,4,1
52235-0750-608,0,3,0.34,16,0,27.6,3.6983,11.21,0,1.91,0,0
54452-2824-554,0,3,15.86,29,2,23.5,2.5566,4.01,0,0.65,8,5
52143-0650-561,0,3,19.86,-9,1,56.1,1.7593,4.65,0,1.18,1,1
52991-1489-581,0,3,26.67,0,11,57.1,1.8536,9.39,0,0.76,2,1
52519-0686-356,0,3,30.19,0,8,13.2,2.5684,7.81,0,2.22,1,0
52203-0685-567,0,3,38.57,0,4,32,2.0921,10.41,0,1.48,2,2
54327-2630-472,0,3,41.76,-4,45,35.8,2.4068,5.8,0,0.62,5,4
54327-2630-165,0,4,2.02,-5,31,4.4,2.9568,8.06,0,1.44,0,0
52143-0650-604,0,4,13.64,-8,55,29.6,2.4241,4.42,0,2.88,1,1
52203-0685-034,0,4,16.46,0,53,0.7,2.0052,12.99,0,1.48,0,0
54452-2824-537,0,4,16.74,28,27,42,2.217,6.72,0,3.41,1,1
52143-0650-609,0,4,22.29,-9,2,19.4,1.8589,9.09,0,1,2,1
52143-0650-605,0,4,24.16,-8,50,48,2.4277,7.84,0,1.41,1,1
54389-2822-446,0,4,53.27,26,5,54.6,2.8501,9.52,0,1.55,0,0
54327-2630-528,0,5,0.07,-3,32,28.1,2.4862,6.35,0,1.42,1,1
51793-0388-303,0,5,0.42,0,33,48.2,2.1733,9.54,0,1.67,0,0
52994-1490-368,0,5,0.53,1,2,20.8,2.1192,17.67,0,1.56,1,1
52143-0650-621,0,5,10.83,-9,25,34.9,1.8603,8.57,0,1.4,2,1
52903-1090-231,0,5,29.13,0,50,1.6,2.1154,9.42,0,0.96,0,0
52251-0751-207,0,5,36.38,13,59,49.4,3.6864,16.35,0,1.77,3,0
52519-0686-258,0,5,41.88,-1,4,11,2.1119,7.39,0,0.79,0,0
54389-2822-142,0,5,45.91,24,45,32.3,2.7382,21.39,0,1.8,0,0
51793-0388-268,0,5,46.48,0,24,13.9,1.7297,7.32,0,1.55,0,0
52141-0651-299,0,5,49.8,-11,5,59,2.3411,7.09,0,1.43,0,0
54389-2822-451,0,6,2.2,25,52,31.3,1.7888,9.18,0,1.39,3,2
52903-1090-183,0,6,4.98,-1,14,59.3,2.5003,10.29,0,0.82,1,0
52141-0651-258,0,6,12.32,-10,43,10.6,1.7353,6.05,0,0.78,0,0
52994-1490-469,0,6,13.99,0,26,4.9,2.5175,7.38,0,1.56,0,0
52141-0651-429,0,6,29.29,-9,35,50.9,1.7568,11.96,0,1.21,0,0
52519-0686-477,0,6,39.16,0,28,20.9,2.2029,6.58,0,1.37,0,0
51793-0388-234,0,6,54.1,0,15,33.4,1.7244,6.02,0,1.14,3,2
52519-0686-190,0,6,59.29,0,17,40.9,2.0364,9.06,0,2.73,0,0
52251-0751-513,0,7,24.08,15,16,57.6,2.0644,7.72,0,1.82,0,0
51793-0388-463,0,7,25.18,0,36,45,2.033,6.54,0,2.79,0,0
52251-0751-562,0,7,30.82,16,7,32.5,3.5014,6.56,0,1.44,0,0
52141-0651-417,0,7,35.52,-8,54,35.1,1.7758,16.09,0,2.03,0,0
52519-0686-444,0,7,38.53,0,58,35.4,1.8482,10.23,0,1.46,0,0
52251-0751-557,0,7,59.4,15,8,22.6,1.964,6.06,0,2.13,0,0
